Topic,Time,Throughput
topic_priority,11:07:48.569,5.594237711387762
topic_priority,11:07:58.564,0.5997075106529044
topic_priority,11:08:08.577,0.599279546129643
topic_priority,11:08:18.584,0.5991982727111126
topic_priority,11:08:28.592,3.7888159457623423
topic_priority,11:08:38.587,1.3979432899141466
topic_priority,11:08:48.599,1.197758729909419
topic_priority,11:08:58.617,1.3960456727111323
topic_priority,11:09:08.612,2.3996334799822674
topic_priority,11:09:18.631,0.1994906604457499
topic_priority,11:09:28.635,0.0
topic_priority,11:09:38.630,5.994037012099623
topic_priority,11:09:48.639,5.999248414158674
topic_priority,11:09:58.663,5.986044136699699
topic_priority,11:10:08.655,5.996727226149057
topic_priority,11:10:18.669,5.989467640942755
topic_priority,11:10:28.679,5.3860875204910705
topic_priority,11:10:38.675,5.997210217750907
topic_priority,11:10:48.702,5.979638970527017
topic_priority,11:10:58.708,5.98401012654087
topic_priority,11:11:08.705,5.990318088486304
topic_priority,11:11:18.718,5.986684894392684
topic_priority,11:11:28.732,5.989192023857587
topic_priority,11:11:38.744,5.985346793686632
topic_priority,11:11:48.753,5.982038331705223
topic_priority,11:11:58.746,5.9971482360707835
topic_priority,11:12:08.750,5.993577881300188
topic_priority,11:12:18.763,5.987845989966486
topic_priority,11:12:28.767,5.994644264920834
topic_priority,11:12:38.788,5.984245635569973
topic_priority,11:12:48.783,5.396187701312776
topic_priority,11:12:58.791,5.987530130249537
topic_priority,11:13:08.795,5.9987616156520644
topic_priority,11:13:18.808,4.193660945987265
topic_normal,11:07:50.599,6.582823832742655
topic_normal,11:08:00.599,5.987890210595895
topic_normal,11:08:10.597,0.5992583578563171
topic_normal,11:08:20.598,0.5993890187975789
topic_normal,11:08:30.603,0.0
topic_normal,11:08:40.607,0.0
topic_normal,11:08:50.615,2.5968867482906792
topic_normal,11:09:00.628,1.3976027758148113
topic_normal,11:09:10.625,3.595675912061673
topic_normal,11:09:20.643,3.789768005362322
topic_normal,11:09:30.642,0.0
topic_normal,11:09:40.645,3.596408626345731
topic_normal,11:09:50.662,5.985787824253119
topic_normal,11:10:00.664,5.984620841055074
topic_normal,11:10:10.657,5.9969330485003365
topic_normal,11:10:20.670,5.992008577999694
topic_normal,11:10:30.672,6.0002365293239865
topic_normal,11:10:40.692,5.983255977811215
topic_normal,11:10:50.689,5.992459568276047
topic_normal,11:11:00.700,5.993912821894598
topic_normal,11:11:10.707,5.991072104350098
topic_normal,11:11:20.717,5.985103436652379
topic_normal,11:11:30.717,5.985585751815907
topic_normal,11:11:40.716,5.99137888509466
topic_normal,11:11:50.734,5.9867387749396315
topic_normal,11:12:00.733,5.988141324446719
topic_normal,11:12:10.747,5.982859108653707
topic_normal,11:12:20.748,5.9854976181111255
topic_normal,11:12:30.750,5.9931285185657535
topic_normal,11:12:40.749,5.995682509025251
topic_normal,11:12:50.763,5.983482954313595
topic_normal,11:13:00.755,5.999127846793633
topic_normal,11:13:10.777,5.384748668650807
topic_normal,11:13:20.781,5.387031045978669
